,Name,Price,Year,Make,Model,Body Type
360,audi s3,44600,2018,audi,s3,sedan
361,audi s4,51400,2018,audi,s4,sedan
362,audi s5,58350,2018,audi,s5,convertible
363,audi s6,71900,2018,audi,s6,sedan
364,audi s7,81200,2018,audi,s7,hatchback
365,audi s8,115900,2018,audi,s8,sedan
366,audi sq5,54300,2018,audi,sq5,sport utility
367,audi tt,45700,2018,audi,tt,convertible
368,audi tt rs,64900,2018,audi,tt rs,coupe
369,audi tts,52950,2018,audi,tts,coupe
370,audi a3,37100,2019,audi,a3,convertible
371,audi a4,41550,2019,audi,a4,wagon
372,audi a5,47700,2019,audi,a5,convertible
373,audi a6,58900,2019,audi,a6,sedan
374,audi a7,68000,2019,audi,a7,hatchback
375,audi a8,83800,2019,audi,a8,sedan
376,audi q5,42950,2019,audi,q5,sport utility
377,audi q7,56750,2019,audi,q7,sport utility
378,audi q8,67400,2019,audi,q8,sport utility
379,audi rs 3,56200,2019,audi,rs 3,sedan
380,audi rs 5,74200,2019,audi,rs 5,coupe
381,audi s3,44500,2019,audi,s3,sedan
382,audi s4,50200,2019,audi,s4,sedan
383,audi s5,58750,2019,audi,s5,convertible
384,audi sq5,52400,2019,audi,sq5,sport utility
385,audi tt,46650,2019,audi,tt,convertible
386,audi tts,53800,2019,audi,tts,coupe
387,audi e-tron,74800,2019,audi,e-tron,sport utility
388,bmw 3 series,34150,2004,bmw,3 series,wagon
389,bmw 5 series,39800,2004,bmw,5 series,sedan
390,bmw 6 series,72800,2004,bmw,6 series,hatchback
391,bmw 7 series,109800,2004,bmw,7 series,sedan
392,bmw m3,51350,2004,bmw,m3,sedan
393,bmw x3,33300,2004,bmw,x3,sport utility
394,bmw x5,55300,2004,bmw,x5,sport utility
395,bmw z4,37250,2004,bmw,z4,convertible
396,bmw 3 series,30250,2005,bmw,3 series,wagon
397,bmw 5 series,45400,2005,bmw,5 series,sedan
398,bmw 6 series,73400,2005,bmw,6 series,hatchback
399,bmw 7 series,109900,2005,bmw,7 series,sedan
400,bmw m3,51550,2005,bmw,m3,sedan
401,bmw x3,33300,2005,bmw,x3,sport utility
402,bmw x5,55900,2005,bmw,x5,sport utility
403,bmw z4,38300,2005,bmw,z4,convertible
404,bmw 3 series,33700,2006,bmw,3 series,wagon
405,bmw 5 series,57400,2006,bmw,5 series,sedan
406,bmw 6 series,75300,2006,bmw,6 series,hatchback
407,bmw 7 series,118900,2006,bmw,7 series,sedan
408,bmw m coupe,49300,2006,bmw,m coupe,hatchback
409,bmw m roadster,51300,2006,bmw,m roadster,convertible
410,bmw m3,52750,2006,bmw,m3,sedan
411,bmw m5,81200,2006,bmw,m5,sedan
412,bmw m6,96100,2006,bmw,m6,coupe
413,bmw x3,36800,2006,bmw,x3,sport utility
414,bmw x5,56800,2006,bmw,x5,sport utility
415,bmw z4,38850,2006,bmw,z4,convertible
416,bmw 3 series,37800,2007,bmw,3 series,wagon
417,bmw 5 series,50900,2007,bmw,5 series,sedan
418,bmw 6 series,78200,2007,bmw,6 series,hatchback
419,bmw 7 series,115000,2007,bmw,7 series,sedan
420,bmw m coupe,50100,2007,bmw,m coupe,hatchback
